Full ID,Name,ID,Type,Dimension,Optimal Cost,Best Cost,Gap,Time (s),Init Time (s),Total Iterations,Best Iteration,Improvements,Early Stopped,Initial Cost,Initial Gap,Best Tour
EUC_2D6,random_instance_6_nodes_10,6,EUC_2D,10,2.834036031150731,2.83403603115073,-0.0000%,0.1028,0.0009,7,7,1,True,2.8340,-0.0000%,"[8, 4, 3, 5, 9, 2, 6, 10, 1, 7, 8]"
EUC_2D9,random_instance_9_nodes_10,9,EUC_2D,10,2.4949642589149383,2.494964258914938,-0.0000%,0.0005,0.0003,1,1,1,True,2.4950,0.0000%,"[2, 5, 7, 1, 10, 8, 9, 6, 4, 3, 2]"
EUC_2D18,random_instance_18_nodes_10,18,EUC_2D,10,2.675573962339385,2.6755739623393846,-0.0000%,0.1608,0.0013,27,27,3,True,2.6838,0.3075%,"[3, 4, 5, 1, 9, 8, 2, 7, 6, 10, 3]"
EUC_2D27,random_instance_27_nodes_10,27,EUC_2D,10,2.51847490304278,2.518474903042779,-0.0000%,0.1221,0.0002,40,40,1,True,2.5185,-0.0000%,"[9, 3, 8, 5, 6, 2, 1, 10, 7, 4, 9]"
EUC_2D35,random_instance_35_nodes_10,35,EUC_2D,10,2.5922061164418997,2.592206116441899,-0.0000%,0.0882,0.0003,1,1,1,True,2.5922,0.0000%,"[8, 4, 5, 10, 3, 6, 1, 7, 9, 2, 8]"
EUC_2D42,random_instance_42_nodes_10,42,EUC_2D,10,2.9989800775250797,2.9989800775250783,-0.0000%,0.0913,0.0005,1,1,1,True,2.9990,0.0000%,"[5, 4, 1, 2, 6, 8, 9, 7, 3, 10, 5]"
EUC_2D43,random_instance_43_nodes_10,43,EUC_2D,10,2.672990388791656,2.6729903887916557,-0.0000%,0.1555,0.0001,5,5,1,True,2.6730,0.0000%,"[6, 1, 5, 7, 2, 3, 9, 4, 8, 10, 6]"
EUC_2D53,random_instance_53_nodes_10,53,EUC_2D,10,2.7129549118621084,2.712954911862108,-0.0000%,0.1003,0.0003,30,30,1,True,2.7130,0.0000%,"[2, 5, 3, 6, 8, 9, 1, 7, 4, 10, 2]"
EUC_2D58,random_instance_58_nodes_10,58,EUC_2D,10,2.9998324866534474,2.9998324866534465,-0.0000%,0.1288,0.0003,50,0,0,False,2.9998,-0.0000%,"[8, 5, 3, 7, 1, 9, 6, 10, 4, 2, 8]"
EUC_2D90,random_instance_90_nodes_10,90,EUC_2D,10,2.8498677555059118,2.8498677555059113,-0.0000%,0.1434,0.0003,1,1,1,True,2.8499,0.0000%,"[3, 1, 7, 6, 9, 5, 2, 8, 4, 10, 3]"
EUC_2D96,random_instance_96_nodes_10,96,EUC_2D,10,3.1527222181097256,3.152722218109725,-0.0000%,0.1449,0.0002,1,1,1,True,3.1527,0.0000%,"[2, 10, 9, 1, 5, 7, 3, 6, 4, 8, 2]"
EUC_2D106,random_instance_106_nodes_10,106,EUC_2D,10,3.424235427886592,3.424235427886591,-0.0000%,0.0984,0.0004,18,18,1,True,3.4242,-0.0000%,"[4, 9, 10, 2, 1, 7, 8, 3, 6, 5, 4]"
EUC_2D117,random_instance_117_nodes_10,117,EUC_2D,10,3.260227153549792,3.260227153549791,-0.0000%,0.1461,0.0003,1,1,1,True,3.2602,0.0000%,"[3, 2, 8, 7, 10, 1, 9, 6, 5, 4, 3]"
EUC_2D128,random_instance_128_nodes_10,128,EUC_2D,10,3.2459264908193113,3.245926490819311,-0.0000%,0.0005,0.0003,1,1,1,True,3.2459,0.0000%,"[3, 8, 5, 10, 7, 2, 9, 1, 4, 6, 3]"
EUC_2D152,random_instance_152_nodes_10,152,EUC_2D,10,3.1734638009674905,3.1734638009674896,-0.0000%,0.1180,0.0002,10,10,1,True,3.1735,0.0000%,"[3, 5, 2, 10, 4, 8, 7, 6, 9, 1, 3]"
EUC_2D158,random_instance_158_nodes_10,158,EUC_2D,10,3.0792906546867846,3.079290654686784,-0.0000%,0.1251,0.0005,50,0,0,False,3.0793,-0.0000%,"[10, 2, 9, 3, 8, 1, 7, 6, 5, 4, 10]"
EUC_2D166,random_instance_166_nodes_10,166,EUC_2D,10,3.202779124742197,3.2027791247421966,-0.0000%,0.0182,0.0015,6,6,1,True,3.2028,0.0000%,"[9, 2, 1, 8, 5, 10, 4, 7, 6, 3, 9]"
EUC_2D188,random_instance_188_nodes_10,188,EUC_2D,10,2.8397089150227957,2.8397089150227948,-0.0000%,0.0308,0.0021,35,35,1,True,2.8397,-0.0000%,"[6, 2, 4, 10, 9, 8, 3, 7, 5, 1, 6]"
EUC_2D200,random_instance_200_nodes_10,200,EUC_2D,10,2.936165173730022,2.936165173730021,-0.0000%,0.0285,0.0006,50,0,0,False,2.9362,-0.0000%,"[4, 2, 9, 1, 8, 3, 7, 5, 10, 6, 4]"
EUC_2D207,random_instance_207_nodes_10,207,EUC_2D,10,2.8415631769709293,2.8415631769709293,0.0000%,0.0069,0.0003,17,17,3,True,2.8521,0.3708%,"[10, 9, 4, 7, 8, 1, 2, 5, 3, 6, 10]"
EUC_2D224,random_instance_224_nodes_10,224,EUC_2D,10,3.3241183549766253,3.3241183549766253,0.0000%,0.0024,0.0005,2,2,2,True,3.3746,1.5195%,"[3, 9, 5, 2, 1, 6, 7, 10, 4, 8, 3]"
EUC_2D231,random_instance_231_nodes_10,231,EUC_2D,10,2.9953458075937283,2.995345807593728,-0.0000%,0.0010,0.0001,2,2,1,True,2.9953,0.0000%,"[7, 6, 3, 9, 4, 5, 10, 8, 2, 1, 7]"
EUC_2D241,random_instance_241_nodes_10,241,EUC_2D,10,3.2697088101414127,3.2697088101414122,-0.0000%,0.0017,0.0005,1,1,1,True,3.2697,0.0000%,"[6, 7, 3, 5, 8, 9, 2, 1, 10, 4, 6]"
EUC_2D251,random_instance_251_nodes_10,251,EUC_2D,10,3.16407587841673,3.164075878416729,-0.0000%,0.0020,0.0004,2,2,1,True,3.1641,0.0000%,"[2, 1, 10, 9, 3, 6, 4, 5, 8, 7, 2]"
EUC_2D282,random_instance_282_nodes_10,282,EUC_2D,10,3.256831269488311,3.25683126948831,-0.0000%,0.0052,0.0003,7,7,2,True,3.2652,0.2562%,"[2, 9, 8, 10, 7, 3, 6, 5, 4, 1, 2]"
EUC_2D317,random_instance_317_nodes_10,317,EUC_2D,10,2.650470185017511,2.6504701850175105,-0.0000%,0.0040,0.0015,8,8,1,True,2.6505,0.0000%,"[3, 8, 1, 7, 4, 5, 2, 10, 6, 9, 3]"
EUC_2D319,random_instance_319_nodes_10,319,EUC_2D,10,2.937965760886506,2.9379657608865055,-0.0000%,0.0165,0.0005,24,24,1,True,2.9380,0.0000%,"[3, 6, 9, 2, 7, 5, 10, 4, 1, 8, 3]"
